NSR:Quay:60130,149913,MOR:Quay:9025914049683601
NSR:Quay:60288,150172,MOR:Quay:9025914049687001
NSR:Quay:60278,150171,MOR:Quay:9025914049686701
NSR:Quay:60277,150173,MOR:Quay:9025914049000302
NSR:Quay:60248,150324,MOR:Quay:9025914049686101
NSR:Quay:60245,150325,MOR:Quay:9025914049000102
NSR:Quay:61502,151436,MOR:Quay:9025914043000201
NSR:Quay:61503,151439,MOR:Quay:9025914043679402
NSR:Quay:62009,151971,MOR:Quay:9025914044425201
NSR:Quay:62008,151973,MOR:Quay:9025914044001102
NSR:Quay:62043,152085,MOR:Quay:9025914044714202
NSR:Quay:62035,152088,MOR:Quay:9025914044000201
NSR:Quay:62044,152087,MOR:Quay:9025914044000401
NSR:Quay:62034,152090,MOR:Quay:9025914044714002
NSR:Quay:62048,152095,MOR:Quay:9025914044000501
NSR:Quay:62050,152096,MOR:Quay:9025914044714302
NSR:Quay:62060,152100,MOR:Quay:9025914044000601
NSR:Quay:62061,152102,MOR:Quay:9025914044714602
NSR:Quay:62081,152104,MOR:Quay:9025914044001302
NSR:Quay:62082,152105,MOR:Quay:9025914044715201
NSR:Quay:62107,152113,MOR:Quay:9025914044715702
NSR:Quay:62106,152114,MOR:Quay:9025914044001501
NSR:Quay:62116,152116,MOR:Quay:9025914044002701
NSR:Quay:62115,152117,MOR:Quay:9025914044716002
NSR:Quay:62118,152120,MOR:Quay:9025914044716101
NSR:Quay:62129,152121,MOR:Quay:9025914044716302
NSR:Quay:62119,152122,MOR:Quay:9025914044001802
NSR:Quay:62128,152124,MOR:Quay:9025914044001901
NSR:Quay:62139,152125,MOR:Quay:9025914044716602
NSR:Quay:62140,152126,MOR:Quay:9025914044002101
NSR:Quay:62145,152128,MOR:Quay:9025914044002201
NSR:Quay:62144,152129,MOR:Quay:9025914044716702
NSR:Quay:62155,152131,MOR:Quay:9025914044002301
NSR:Quay:62157,152132,MOR:Quay:9025914044716902
NSR:Quay:62164,152135,MOR:Quay:9025914044002601
NSR:Quay:62166,152137,MOR:Quay:9025914044717302
NSR:Quay:62171,152139,MOR:Quay:9025914044717602
NSR:Quay:62189,152150,MOR:Quay:9025914044718601
NSR:Quay:62190,152151,MOR:Quay:9025914044000902
NSR:Quay:65087,157587,MOR:Quay:9025915048600299
NSR:Quay:65087,157587,MOR:Quay:9025915048600201
NSR:Quay:65090,157590,MOR:Quay:9025915039440701
NSR:Quay:65090,157590,MOR:Quay:9025915039440799
NSR:Quay:65096,157596,MOR:Quay:9025915054575101
NSR:Quay:65096,157596,MOR:Quay:9025915054575199
NSR:Quay:65099,157597,MOR:Quay:9025915031550799
NSR:Quay:65101,157599,MOR:Quay:9025915024851299
NSR:Quay:65101,157599,MOR:Quay:9025915024851202
NSR:Quay:65102,157600,MOR:Quay:9025915024293301
NSR:Quay:65102,157600,MOR:Quay:9025915024293399
NSR:Quay:65109,157604,MOR:Quay:9025915071652099
NSR:Quay:65109,157604,MOR:Quay:9025915071652001
NSR:Quay:65104,157603,MOR:Quay:9025915025856499
NSR:Quay:65104,157603,MOR:Quay:9025915025856402
NSR:Quay:65106,157605,MOR:Quay:9025915025294199
NSR:Quay:65106,157605,MOR:Quay:9025915025294101
NSR:Quay:65105,157606,MOR:Quay:9025915025303002
NSR:Quay:65105,157606,MOR:Quay:9025915025303099
NSR:Quay:65111,157608,MOR:Quay:9025915004019499
NSR:Quay:65111,157608,MOR:Quay:9025915004019401
NSR:Quay:65112,157609,MOR:Quay:9025915004828899
NSR:Quay:65112,157609,MOR:Quay:9025915004828802
NSR:Quay:65114,157611,MOR:Quay:9025915071647501
NSR:Quay:65114,157611,MOR:Quay:9025915071647599
NSR:Quay:65116,157613,MOR:Quay:9025915054578501
NSR:Quay:65116,157613,MOR:Quay:9025915054578599
NSR:Quay:65123,157616,MOR:Quay:9025915019221201
NSR:Quay:65123,157616,MOR:Quay:9025915019221299
NSR:Quay:65119,3582468,MOR:Quay:9025915073781001
NSR:Quay:65119,3582468,MOR:Quay:9025915073781099
NSR:Quay:65120,3582469,MOR:Quay:9025915073760199
NSR:Quay:65120,3582469,MOR:Quay:9025915073760102
NSR:Quay:65126,157620,MOR:Quay:9025915014126801
NSR:Quay:65126,157620,MOR:Quay:9025915014126899
NSR:Quay:65127,157621,MOR:Quay:9025915014801802
NSR:Quay:65127,157621,MOR:Quay:9025915014801899
NSR:Quay:65131,157623,MOR:Quay:9025915034323899
NSR:Quay:65131,157623,MOR:Quay:9025915034323801
NSR:Quay:65135,157624,MOR:Quay:9025915034840599
NSR:Quay:65135,157624,MOR:Quay:9025915034840502
