ID;NSR-ID
2350350;NSR:StopPlace:269
3010010;NSR:StopPlace:337
5177430;NSR:StopPlace:4
8056505;NSR:StopPlace:12
1285390;NSR:StopPlace:64
5299105;NSR:StopPlace:15
12353270;NSR:StopPlace:42
5298323;NSR:StopPlace:67
16440110;NSR:StopPlace:20
4290500;NSR:StopPlace:23
5209104;NSR:StopPlace:17
9061420;NSR:StopPlace:35
5339212;NSR:StopPlace:46
18403820;NSR:StopPlace:49
16480418;NSR:StopPlace:31
17193040;NSR:StopPlace:38
3010930;NSR:StopPlace:60
16012012;NSR:StopPlace:57
1365180;NSR:StopPlace:70
18403800;NSR:StopPlace:77
16400060;NSR:StopPlace:53
6274340;NSR:StopPlace:80
1355190;NSR:StopPlace:84
2260300;NSR:StopPlace:27
2310200;NSR:StopPlace:101
7135020;NSR:StopPlace:662
7065140;NSR:StopPlace:108
11022260;NSR:StopPlace:108
11022262;NSR:StopPlace:702
2190400;NSR:StopPlace:610
1055270;NSR:StopPlace:94
12353320;NSR:StopPlace:114
16011230;NSR:StopPlace:155
16480170;NSR:StopPlace:118
10042030;NSR:StopPlace:120
11192160;NSR:StopPlace:624
16011252;NSR:StopPlace:144
4190100;NSR:StopPlace:123
17143010;NSR:StopPlace:148
2130300;NSR:StopPlace:127
8069030;NSR:StopPlace:136
12353272;NSR:StopPlace:698
17193050;NSR:StopPlace:110
18333660;NSR:StopPlace:104
7015070;NSR:StopPlace:140
2130600;NSR:StopPlace:97
3012500;NSR:StopPlace:152
2190600;NSR:StopPlace:648
1255340;NSR:StopPlace:654
10341810;NSR:StopPlace:658
3012675;NSR:StopPlace:666
17363210;NSR:StopPlace:673
2170200;NSR:StopPlace:680
2110300;NSR:StopPlace:684
17023110;NSR:StopPlace:687
6274360;NSR:StopPlace:694
1230600;NSR:StopPlace:691
2190100;NSR:StopPlace:706
4301485;NSR:StopPlace:704
4177400;NSR:StopPlace:708
12513360;NSR:StopPlace:710
11032340;NSR:StopPlace:596
6256570;NSR:StopPlace:91
17023140;NSR:StopPlace:714
4301533;NSR:StopPlace:669
17143002;NSR:StopPlace:712
7205120;NSR:StopPlace:132
10371830;NSR:StopPlace:585
5339308;NSR:StopPlace:630
2310100;NSR:StopPlace:716
16481140;NSR:StopPlace:603
2270702;NSR:StopPlace:613
2260100;NSR:StopPlace:640
4177446;NSR:StopPlace:646
4361960;NSR:StopPlace:663
1380100;NSR:StopPlace:667
7060750;NSR:StopPlace:667
12013390;NSR:StopPlace:677
18253480;NSR:StopPlace:685
16011260;NSR:StopPlace:659
8220539;NSR:StopPlace:690
2270112;NSR:StopPlace:695
4371000;NSR:StopPlace:699
7045100;NSR:StopPlace:653
3011420;NSR:StopPlace:339
14213250;NSR:StopPlace:349
12353280;NSR:StopPlace:354
6203200;NSR:StopPlace:358
12513370;NSR:StopPlace:364
2200300;NSR:StopPlace:368
11192200;NSR:StopPlace:411
2330155;NSR:StopPlace:379
9121100;NSR:StopPlace:407
10141240;NSR:StopPlace:435
17213080;NSR:StopPlace:390
2110100;NSR:StopPlace:384
6246004;NSR:StopPlace:401
2130700;NSR:StopPlace:396
12333252;NSR:StopPlace:445
11192190;NSR:StopPlace:421
6236120;NSR:StopPlace:429
5169304;NSR:StopPlace:425
12353300;NSR:StopPlace:440
17143003;NSR:StopPlace:452
12353290;NSR:StopPlace:462
11207242;NSR:StopPlace:480
12353254;NSR:StopPlace:468
12353274;NSR:StopPlace:474
6193170;NSR:StopPlace:508
16440120;NSR:StopPlace:514
15398100;NSR:StopPlace:520
2330400;NSR:StopPlace:502
2360300;NSR:StopPlace:540
2140200;NSR:StopPlace:547
17193030;NSR:StopPlace:554
