NSR:StopPlace:5816;NSR:Quay:10666;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.812483,59.869003]}"
NSR:StopPlace:5823;NSR:Quay:10681;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.82101,59.86711]}"
NSR:StopPlace:5823;NSR:Quay:10682;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.82105,59.86718]}"
NSR:StopPlace:5847;NSR:Quay:10717;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.84957,59.88954]}"
NSR:StopPlace:5847;NSR:Quay:10716;Retning Mortensrud;"{""type"":""Point"",""coordinates"":[10.84946,59.88951]}"
NSR:StopPlace:5848;NSR:Quay:10719;Retning sentrum/Storo;"{""type"":""Point"",""coordinates"":[10.88078,59.96146]}"
NSR:StopPlace:5848;NSR:Quay:10718;Retning Vestli;"{""type"":""Point"",""coordinates"":[10.880783,59.961371]}"
NSR:StopPlace:5862;NSR:Quay:10750;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.84541,59.884197]}"
NSR:StopPlace:5862;NSR:Quay:10749;Retning Mortensrud;"{""type"":""Point"",""coordinates"":[10.84537,59.88428]}"
NSR:StopPlace:5874;NSR:Quay:10768;Retning Mortensrud;"{""type"":""Point"",""coordinates"":[10.84199,59.876058]}"
NSR:StopPlace:5874;NSR:Quay:10769;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.84213,59.87605]}"
NSR:StopPlace:5885;NSR:Quay:10787;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.84015,59.86654]}"
NSR:StopPlace:5885;NSR:Quay:10788;Retning Mortensrud;"{""type"":""Point"",""coordinates"":[10.84002,59.86655]}"
NSR:StopPlace:5900;NSR:Quay:10819;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.80501,59.89568]}"
NSR:StopPlace:5900;NSR:Quay:10818;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.80498,59.89575]}"
NSR:StopPlace:5905;NSR:Quay:10827;Retning Vestli;"{""type"":""Point"",""coordinates"":[10.80598,59.9282]}"
NSR:StopPlace:5905;NSR:Quay:10825;Retning sentrum/Storo;"{""type"":""Point"",""coordinates"":[10.80595,59.92827]}"
NSR:StopPlace:5917;NSR:Quay:10850;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.81273,59.898041]}"
