NSR:StopPlace:8870;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:8988;Fallet;;ONSTREET_BUS;
NSR:StopPlace:8993;Slemdalen;;ONSTREET_BUS;
NSR:StopPlace:9023;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9048;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9125;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9178;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9207;Tangen;;ONSTREET_BUS;
NSR:StopPlace:9289;Steinvik;;ONSTREET_BUS;
NSR:StopPlace:9368;mot Ringebu;;ONSTREET_BUS;
NSR:StopPlace:9464;mot Flisa;;ONSTREET_BUS;
NSR:StopPlace:9590;mot Oslo;;ONSTREET_BUS;
NSR:StopPlace:9595;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9600;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9607;mot Oslo;;ONSTREET_BUS;
NSR:StopPlace:9617;mot Oslo;;ONSTREET_BUS;
NSR:StopPlace:9645;mot Oslo;;ONSTREET_BUS;
NSR:StopPlace:9659;mot Hamar;;ONSTREET_BUS;
NSR:StopPlace:9700;mot Skarnes;;ONSTREET_BUS;
NSR:StopPlace:9810;mot Kongsvinger;;ONSTREET_BUS;
NSR:StopPlace:9868;mot Oslo;;ONSTREET_BUS;
NSR:StopPlace:9869;mot Tingnes;;ONSTREET_BUS;
NSR:StopPlace:9871;mot Moelv;;ONSTREET_BUS;
NSR:StopPlace:9931;mot Moelv;;ONSTREET_BUS;
NSR:StopPlace:9947;mot Roverud;;ONSTREET_BUS;
