73510,NSR:StopPlace:4382,2,NSR:StopPlace:58377,RUT:TariffZone:1
72435,NSR:StopPlace:4385,2,NSR:StopPlace:58280,RUT:TariffZone:1
75532,NSR:StopPlace:44054,5,NSR:StopPlace:58349,ATB:TariffZone:317
73539,NSR:StopPlace:4452,9,NSR:StopPlace:58381,RUT:TariffZone:1
73541,NSR:StopPlace:4468,6,NSR:StopPlace:58381,RUT:TariffZone:1
73540,NSR:StopPlace:4488,9,NSR:StopPlace:58381,RUT:TariffZone:1
72935,NSR:StopPlace:4495,7,NSR:StopPlace:58291,RUT:TariffZone:1
74613,NSR:StopPlace:4511,3,NSR:StopPlace:58403,RUT:TariffZone:1
72895,NSR:StopPlace:4516,5,NSR:StopPlace:58356,RUT:TariffZone:1
72894,NSR:StopPlace:4522,3,NSR:StopPlace:58356,RUT:TariffZone:1
72892,NSR:StopPlace:4527,2,NSR:StopPlace:58355,RUT:TariffZone:1
72891,NSR:StopPlace:4531,3,NSR:StopPlace:58355,RUT:TariffZone:1
72888,NSR:StopPlace:4537,4,NSR:StopPlace:58354,RUT:TariffZone:1
72889,NSR:StopPlace:4542,3,NSR:StopPlace:58354,RUT:TariffZone:1
72464,NSR:StopPlace:4557,2,NSR:StopPlace:58290,RUT:TariffZone:1
74050,NSR:StopPlace:47106,8,NSR:StopPlace:58391,NOR:TariffZone:18066
74050,NSR:StopPlace:47106,8,NSR:StopPlace:58391,NOR:TariffZone:18487
74049,NSR:StopPlace:47195,3,NSR:StopPlace:58391,NOR:TariffZone:18716
76044,NSR:StopPlace:47419,3,NSR:StopPlace:58440,NOR:TariffZone:18727
76043,NSR:StopPlace:49013,4,NSR:StopPlace:58440,NOR:TariffZone:18020
76056,NSR:StopPlace:49363,3,NSR:StopPlace:58441,NOR:TariffZone:18459
76057,NSR:StopPlace:49365,3,NSR:StopPlace:58441,NOR:TariffZone:18048
75055,NSR:StopPlace:5351,17,NSR:StopPlace:58211,RUT:TariffZone:4N
75056,NSR:StopPlace:5357,25,NSR:StopPlace:58211,RUT:TariffZone:4N
76078,NSR:StopPlace:55021,4,NSR:StopPlace:58444,TRO:TariffZone:19524
72994,NSR:StopPlace:5583,4,NSR:StopPlace:58368,RUT:TariffZone:2S
72995,NSR:StopPlace:5587,4,NSR:StopPlace:58368,RUT:TariffZone:2S
72193,NSR:StopPlace:5607,4,NSR:StopPlace:58222,RUT:TariffZone:1
72192,NSR:StopPlace:5609,3,NSR:StopPlace:58222,RUT:TariffZone:1
72195,NSR:StopPlace:5625,4,NSR:StopPlace:58221,RUT:TariffZone:1
72196,NSR:StopPlace:5627,4,NSR:StopPlace:58221,RUT:TariffZone:1
72203,NSR:StopPlace:5639,6,NSR:StopPlace:58220,RUT:TariffZone:1
72202,NSR:StopPlace:5641,5,NSR:StopPlace:58220,RUT:TariffZone:1
72306,NSR:StopPlace:5687,4,NSR:StopPlace:58228,RUT:TariffZone:1
72307,NSR:StopPlace:5690,3,NSR:StopPlace:58228,RUT:TariffZone:1
71466,NSR:StopPlace:5705,3,NSR:StopPlace:58217,RUT:TariffZone:1
71467,NSR:StopPlace:5707,3,NSR:StopPlace:58217,RUT:TariffZone:1
72209,NSR:StopPlace:5720,6,NSR:StopPlace:58219,RUT:TariffZone:1
72210,NSR:StopPlace:5722,7,NSR:StopPlace:58219,RUT:TariffZone:1
72205,NSR:StopPlace:5730,6,NSR:StopPlace:58218,RUT:TariffZone:1
72206,NSR:StopPlace:5733,5,NSR:StopPlace:58218,RUT:TariffZone:1
72320,NSR:StopPlace:5796,2,NSR:StopPlace:58246,RUT:TariffZone:1
72315,NSR:StopPlace:5798,3,NSR:StopPlace:58245,RUT:TariffZone:1
72316,NSR:StopPlace:5801,6,NSR:StopPlace:58245,RUT:TariffZone:1
72201,NSR:StopPlace:5803,4,NSR:StopPlace:58214,RUT:TariffZone:1
72212,NSR:StopPlace:5805,8,NSR:StopPlace:58214,RUT:TariffZone:1
72322,NSR:StopPlace:5816,3,NSR:StopPlace:58244,RUT:TariffZone:1
72323,NSR:StopPlace:5818,2,NSR:StopPlace:58244,RUT:TariffZone:1
72309,NSR:StopPlace:5823,3,NSR:StopPlace:58243,RUT:TariffZone:1
72310,NSR:StopPlace:5825,2,NSR:StopPlace:58243,RUT:TariffZone:1
72947,NSR:StopPlace:58311,5,NSR:StopPlace:58364,RUT:TariffZone:1
72959,NSR:StopPlace:58312,4,NSR:StopPlace:58365,RUT:TariffZone:1
73084,NSR:StopPlace:58370,3,NSR:StopPlace:58371,RUT:TariffZone:4V
72298,NSR:StopPlace:5847,6,NSR:StopPlace:58224,RUT:TariffZone:1
72199,NSR:StopPlace:5848,6,NSR:StopPlace:58216,RUT:TariffZone:1
72297,NSR:StopPlace:5849,5,NSR:StopPlace:58224,RUT:TariffZone:1
72198,NSR:StopPlace:5850,6,NSR:StopPlace:58216,RUT:TariffZone:1
72301,NSR:StopPlace:5862,4,NSR:StopPlace:58225,RUT:TariffZone:1
72300,NSR:StopPlace:5865,5,NSR:StopPlace:58225,RUT:TariffZone:1
72313,NSR:StopPlace:5874,4,NSR:StopPlace:58226,RUT:TariffZone:1
72312,NSR:StopPlace:5877,4,NSR:StopPlace:58226,RUT:TariffZone:1
72303,NSR:StopPlace:5885,6,NSR:StopPlace:58227,RUT:TariffZone:1
72304,NSR:StopPlace:5887,6,NSR:StopPlace:58227,RUT:TariffZone:1
72336,NSR:StopPlace:5900,3,NSR:StopPlace:58248,RUT:TariffZone:1
72335,NSR:StopPlace:5902,6,NSR:StopPlace:58248,RUT:TariffZone:1
74164,NSR:StopPlace:5905,5,NSR:StopPlace:58194,RUT:TariffZone:1
74163,NSR:StopPlace:5907,6,NSR:StopPlace:58194,RUT:TariffZone:1
72969,NSR:StopPlace:5908,5,NSR:StopPlace:58367,RUT:TariffZone:1
72326,NSR:StopPlace:5917,3,NSR:StopPlace:58249,RUT:TariffZone:1
72325,NSR:StopPlace:5919,2,NSR:StopPlace:58249,RUT:TariffZone:1
72338,NSR:StopPlace:5935,3,NSR:StopPlace:58250,RUT:TariffZone:1
72339,NSR:StopPlace:5937,2,NSR:StopPlace:58250,RUT:TariffZone:1
71463,NSR:StopPlace:5963,3,NSR:StopPlace:58215,RUT:TariffZone:1
71464,NSR:StopPlace:5965,3,NSR:StopPlace:58215,RUT:TariffZone:1
72289,NSR:StopPlace:5971,4,NSR:StopPlace:58223,RUT:TariffZone:1
72290,NSR:StopPlace:5973,3,NSR:StopPlace:58223,RUT:TariffZone:1
74334,NSR:StopPlace:6014,20,NSR:StopPlace:58189,RUT:TariffZone:1
74335,NSR:StopPlace:6017,16,NSR:StopPlace:58189,RUT:TariffZone:1
74673,NSR:StopPlace:6022,13,NSR:StopPlace:58255,RUT:TariffZone:1
71164,NSR:StopPlace:6029,3,NSR:StopPlace:58191,RUT:TariffZone:1
71163,NSR:StopPlace:6031,5,NSR:StopPlace:58191,RUT:TariffZone:1
74619,NSR:StopPlace:6039,15,NSR:StopPlace:58406,RUT:TariffZone:1
74618,NSR:StopPlace:6045,6,NSR:StopPlace:58406,RUT:TariffZone:1
72761,NSR:StopPlace:6057,5,NSR:StopPlace:58195,RUT:TariffZone:1
72773,NSR:StopPlace:6058,20,NSR:StopPlace:58195,RUT:TariffZone:1
72772,NSR:StopPlace:6060,11,NSR:StopPlace:58195,RUT:TariffZone:1
72512,NSR:StopPlace:6083,7,NSR:StopPlace:58305,RUT:TariffZone:1
75425,NSR:StopPlace:6086,6,NSR:StopPlace:58197,RUT:TariffZone:1
75426,NSR:StopPlace:6089,7,NSR:StopPlace:58197,RUT:TariffZone:1
72495,NSR:StopPlace:6093,7,NSR:StopPlace:58306,RUT:TariffZone:1
72499,NSR:StopPlace:6095,8,NSR:StopPlace:58307,RUT:TariffZone:1
72501,NSR:StopPlace:6097,3,NSR:StopPlace:58308,RUT:TariffZone:1
72527,NSR:StopPlace:6125,2,NSR:StopPlace:58310,RUT:TariffZone:1
72528,NSR:StopPlace:6128,2,NSR:StopPlace:58310,RUT:TariffZone:1
72525,NSR:StopPlace:6130,11,NSR:StopPlace:58309,RUT:TariffZone:1
72524,NSR:StopPlace:6134,4,NSR:StopPlace:58309,RUT:TariffZone:1
71181,NSR:StopPlace:6140,3,NSR:StopPlace:58198,RUT:TariffZone:1
71180,NSR:StopPlace:6142,2,NSR:StopPlace:58198,RUT:TariffZone:1
72385,NSR:StopPlace:6149,8,NSR:StopPlace:58265,RUT:TariffZone:1
72386,NSR:StopPlace:6166,2,NSR:StopPlace:58265,RUT:TariffZone:1
72177,NSR:StopPlace:6180,4,NSR:StopPlace:58213,RUT:TariffZone:1
72178,NSR:StopPlace:6182,4,NSR:StopPlace:58213,RUT:TariffZone:1
72522,NSR:StopPlace:62009,11,NSR:StopPlace:58308,RUT:TariffZone:1
72498,NSR:StopPlace:62010,7,NSR:StopPlace:58307,RUT:TariffZone:1
72496,NSR:StopPlace:62011,8,NSR:StopPlace:58306,RUT:TariffZone:1
72511,NSR:StopPlace:62012,8,NSR:StopPlace:58305,RUT:TariffZone:1
71191,NSR:StopPlace:62014,6,NSR:StopPlace:58196,RUT:TariffZone:1
72353,NSR:StopPlace:62015,6,NSR:StopPlace:58257,RUT:TariffZone:1
72461,NSR:StopPlace:62016,4,NSR:StopPlace:58295,RUT:TariffZone:1
72459,NSR:StopPlace:62017,2,NSR:StopPlace:58294,RUT:TariffZone:1
72470,NSR:StopPlace:62018,2,NSR:StopPlace:58293,RUT:TariffZone:1
72462,NSR:StopPlace:62019,4,NSR:StopPlace:58289,RUT:TariffZone:1
72955,NSR:StopPlace:62020,3,NSR:StopPlace:58363,RUT:TariffZone:1
74995,NSR:StopPlace:62021,6,NSR:StopPlace:58362,RUT:TariffZone:1
72365,NSR:StopPlace:62022,7,NSR:StopPlace:58258,RUT:TariffZone:1
72941,NSR:StopPlace:62023,3,NSR:StopPlace:58361,RUT:TariffZone:1
72367,NSR:StopPlace:62024,6,NSR:StopPlace:58259,RUT:TariffZone:1
74674,NSR:StopPlace:62025,9,NSR:StopPlace:58255,RUT:TariffZone:1
71150,NSR:StopPlace:62028,7,NSR:StopPlace:58190,RUT:TariffZone:1
72348,NSR:StopPlace:62029,6,NSR:StopPlace:58254,RUT:TariffZone:1
74612,NSR:StopPlace:62030,4,NSR:StopPlace:58403,RUT:TariffZone:1
72345,NSR:StopPlace:62031,8,NSR:StopPlace:58253,RUT:TariffZone:1
74646,NSR:StopPlace:62032,8,NSR:StopPlace:58407,RUT:TariffZone:1
72936,NSR:StopPlace:62034,7,NSR:StopPlace:58291,RUT:TariffZone:1
74616,NSR:StopPlace:62036,6,NSR:StopPlace:58405,RUT:TariffZone:1
72356,NSR:StopPlace:62037,2,NSR:StopPlace:58261,RUT:TariffZone:1
72373,NSR:StopPlace:62038,8,NSR:StopPlace:58260,RUT:TariffZone:1
72878,NSR:StopPlace:62039,5,NSR:StopPlace:58353,RUT:TariffZone:1
72407,NSR:StopPlace:6236,2,NSR:StopPlace:58271,RUT:TariffZone:1
72408,NSR:StopPlace:6238,2,NSR:StopPlace:58271,RUT:TariffZone:1
72405,NSR:StopPlace:6245,2,NSR:StopPlace:58270,RUT:TariffZone:1
72404,NSR:StopPlace:6248,4,NSR:StopPlace:58270,RUT:TariffZone:1
72465,NSR:StopPlace:6253,2,NSR:StopPlace:58290,RUT:TariffZone:1
72372,NSR:StopPlace:6256,6,NSR:StopPlace:58260,RUT:TariffZone:1
74615,NSR:StopPlace:6258,6,NSR:StopPlace:58405,RUT:TariffZone:1
72877,NSR:StopPlace:6263,3,NSR:StopPlace:58353,RUT:TariffZone:1
72938,NSR:StopPlace:6264,2,NSR:StopPlace:58360,RUT:TariffZone:1
72357,NSR:StopPlace:6265,4,NSR:StopPlace:58261,RUT:TariffZone:1
72939,NSR:StopPlace:6266,3,NSR:StopPlace:58360,RUT:TariffZone:1
72359,NSR:StopPlace:6267,3,NSR:StopPlace:58262,RUT:TariffZone:1
72402,NSR:StopPlace:6268,2,NSR:StopPlace:58269,RUT:TariffZone:1
72360,NSR:StopPlace:6269,3,NSR:StopPlace:58262,RUT:TariffZone:1
72391,NSR:StopPlace:6271,2,NSR:StopPlace:58269,RUT:TariffZone:1
72381,NSR:StopPlace:6273,2,NSR:StopPlace:58268,RUT:TariffZone:1
72392,NSR:StopPlace:6275,2,NSR:StopPlace:58268,RUT:TariffZone:1
72376,NSR:StopPlace:6303,9,NSR:StopPlace:58263,RUT:TariffZone:1
72375,NSR:StopPlace:6307,2,NSR:StopPlace:58263,RUT:TariffZone:1
72379,NSR:StopPlace:6311,2,NSR:StopPlace:58267,RUT:TariffZone:1
72378,NSR:StopPlace:6315,2,NSR:StopPlace:58267,RUT:TariffZone:1
72382,NSR:StopPlace:6323,3,NSR:StopPlace:58264,RUT:TariffZone:1
72383,NSR:StopPlace:6327,3,NSR:StopPlace:58264,RUT:TariffZone:1
72389,NSR:StopPlace:6330,2,NSR:StopPlace:58266,RUT:TariffZone:1
72388,NSR:StopPlace:6333,2,NSR:StopPlace:58266,RUT:TariffZone:1
72394,NSR:StopPlace:6336,3,NSR:StopPlace:58274,RUT:TariffZone:1
72395,NSR:StopPlace:6338,3,NSR:StopPlace:58274,RUT:TariffZone:1
72398,NSR:StopPlace:6360,3,NSR:StopPlace:58275,RUT:TariffZone:1
72397,NSR:StopPlace:6362,4,NSR:StopPlace:58275,RUT:TariffZone:1
72362,NSR:StopPlace:6382,4,NSR:StopPlace:58256,RUT:TariffZone:1
72341,NSR:StopPlace:6384,5,NSR:StopPlace:58256,RUT:TariffZone:1
71069,NSR:StopPlace:6394,4,NSR:StopPlace:58185,RUT:TariffZone:1
71068,NSR:StopPlace:6398,3,NSR:StopPlace:58185,RUT:TariffZone:1
72484,NSR:StopPlace:64016,4,NSR:StopPlace:58296,RUT:TariffZone:1
71190,NSR:StopPlace:6405,6,NSR:StopPlace:58196,RUT:TariffZone:1
72331,NSR:StopPlace:6423,3,NSR:StopPlace:58252,RUT:TariffZone:1
72342,NSR:StopPlace:6426,3,NSR:StopPlace:58252,RUT:TariffZone:1
72368,NSR:StopPlace:6430,6,NSR:StopPlace:58259,RUT:TariffZone:1
72364,NSR:StopPlace:6433,6,NSR:StopPlace:58258,RUT:TariffZone:1
72446,NSR:StopPlace:6439,2,NSR:StopPlace:58287,RUT:TariffZone:1
72445,NSR:StopPlace:6441,2,NSR:StopPlace:58287,RUT:TariffZone:1
72916,NSR:StopPlace:6442,3,NSR:StopPlace:58357,RUT:TariffZone:1
72448,NSR:StopPlace:6443,2,NSR:StopPlace:58288,RUT:TariffZone:1
72917,NSR:StopPlace:6444,2,NSR:StopPlace:58357,RUT:TariffZone:1
72449,NSR:StopPlace:6445,2,NSR:StopPlace:58288,RUT:TariffZone:1
72452,NSR:StopPlace:6448,2,NSR:StopPlace:58286,RUT:TariffZone:1
72453,NSR:StopPlace:6450,2,NSR:StopPlace:58286,RUT:TariffZone:1
72354,NSR:StopPlace:6456,6,NSR:StopPlace:58257,RUT:TariffZone:1
72344,NSR:StopPlace:6459,8,NSR:StopPlace:58253,RUT:TariffZone:1
72347,NSR:StopPlace:6462,7,NSR:StopPlace:58254,RUT:TariffZone:1
71151,NSR:StopPlace:6464,10,NSR:StopPlace:58190,RUT:TariffZone:1
72439,NSR:StopPlace:6474,2,NSR:StopPlace:58285,RUT:TariffZone:1
72440,NSR:StopPlace:6477,2,NSR:StopPlace:58285,RUT:TariffZone:1
72410,NSR:StopPlace:6490,3,NSR:StopPlace:58272,RUT:TariffZone:1
72411,NSR:StopPlace:6492,2,NSR:StopPlace:58272,RUT:TariffZone:1
72414,NSR:StopPlace:6496,3,NSR:StopPlace:58273,RUT:TariffZone:1
72413,NSR:StopPlace:6499,12,NSR:StopPlace:58273,RUT:TariffZone:1
72471,NSR:StopPlace:6500,3,NSR:StopPlace:58293,RUT:TariffZone:1
72482,NSR:StopPlace:6512,3,NSR:StopPlace:58295,RUT:TariffZone:1
72419,NSR:StopPlace:6515,3,NSR:StopPlace:58278,RUT:TariffZone:1
72420,NSR:StopPlace:6517,2,NSR:StopPlace:58278,RUT:TariffZone:1
72432,NSR:StopPlace:6521,3,NSR:StopPlace:58279,RUT:TariffZone:1
72458,NSR:StopPlace:6522,3,NSR:StopPlace:58294,RUT:TariffZone:1
72433,NSR:StopPlace:6523,2,NSR:StopPlace:58279,RUT:TariffZone:1
72485,NSR:StopPlace:6535,2,NSR:StopPlace:58296,RUT:TariffZone:1
72487,NSR:StopPlace:6573,2,NSR:StopPlace:58297,RUT:TariffZone:1
72488,NSR:StopPlace:6576,2,NSR:StopPlace:58297,RUT:TariffZone:1
72473,NSR:StopPlace:6598,2,NSR:StopPlace:58298,RUT:TariffZone:1
72474,NSR:StopPlace:6600,2,NSR:StopPlace:58298,RUT:TariffZone:1
72477,NSR:StopPlace:6618,2,NSR:StopPlace:58299,RUT:TariffZone:1
72476,NSR:StopPlace:6621,5,NSR:StopPlace:58299,RUT:TariffZone:1
72319,NSR:StopPlace:6653,3,NSR:StopPlace:58246,RUT:TariffZone:1
72318,NSR:StopPlace:6654,2,NSR:StopPlace:58246,RUT:TariffZone:1
72332,NSR:StopPlace:6657,3,NSR:StopPlace:58247,RUT:TariffZone:1
72333,NSR:StopPlace:6658,2,NSR:StopPlace:58247,RUT:TariffZone:1
72480,NSR:StopPlace:6668,2,NSR:StopPlace:58300,RUT:TariffZone:1
72479,NSR:StopPlace:6670,2,NSR:StopPlace:58300,RUT:TariffZone:1
72492,NSR:StopPlace:6671,2,NSR:StopPlace:58301,RUT:TariffZone:1
72493,NSR:StopPlace:6672,2,NSR:StopPlace:58301,RUT:TariffZone:1
72502,NSR:StopPlace:6676,2,NSR:StopPlace:58302,RUT:TariffZone:1
72503,NSR:StopPlace:6679,2,NSR:StopPlace:58302,RUT:TariffZone:1
72506,NSR:StopPlace:6684,3,NSR:StopPlace:58303,RUT:TariffZone:1
72505,NSR:StopPlace:6685,4,NSR:StopPlace:58303,RUT:TariffZone:1
72508,NSR:StopPlace:6694,3,NSR:StopPlace:58304,RUT:TariffZone:1
72509,NSR:StopPlace:6695,2,NSR:StopPlace:58304,RUT:TariffZone:1
