58446,NSR:Quay:62138,1,2,NSR:PlaceEquipment:8862,NSR:PlaceEquipment:8862,2,1,NSR:ShelterEquipment:904,NSR:ShelterEquipment:904,1,2
59980,NSR:Quay:64359,1,2,NSR:PlaceEquipment:9472,NSR:PlaceEquipment:9472,2,1,NSR:GeneralSign:11488,NSR:GeneralSign:11488,1,2
60062,NSR:Quay:64480,1,2,NSR:PlaceEquipment:9488,NSR:PlaceEquipment:9488,1,2,NSR:GeneralSign:11503,NSR:GeneralSign:11503,2,1
60150,NSR:Quay:64613,1,2,NSR:PlaceEquipment:9540,NSR:PlaceEquipment:9540,1,2,NSR:ShelterEquipment:1105,NSR:ShelterEquipment:1105,2,1
64066,NSR:Quay:68154,1,2,NSR:PlaceEquipment:11062,NSR:PlaceEquipment:11062,2,1,NSR:GeneralSign:13020,NSR:GeneralSign:13020,1,2
64066,NSR:Quay:68154,1,2,NSR:PlaceEquipment:11062,NSR:PlaceEquipment:11062,2,1,NSR:WaitingRoomEquipment:231,NSR:WaitingRoomEquipment:231,1,2
64899,NSR:Quay:69119,1,2,NSR:PlaceEquipment:11385,NSR:PlaceEquipment:11385,2,3,NSR:WaitingRoomEquipment:254,NSR:WaitingRoomEquipment:254,2,1
65203,NSR:Quay:69468,1,2,NSR:PlaceEquipment:11494,NSR:PlaceEquipment:11494,2,4,NSR:ShelterEquipment:1991,NSR:ShelterEquipment:1991,2,1
65206,NSR:Quay:69469,1,2,NSR:PlaceEquipment:11495,NSR:PlaceEquipment:11495,1,4,NSR:GeneralSign:13425,NSR:GeneralSign:13425,3,2
62088,NSR:Quay:65231,1,2,NSR:PlaceEquipment:10262,NSR:PlaceEquipment:10262,2,1,NSR:GeneralSign:12251,NSR:GeneralSign:12251,1,2
65378,NSR:Quay:69685,1,2,NSR:PlaceEquipment:11566,NSR:PlaceEquipment:11566,2,3,NSR:ShelterEquipment:2028,NSR:ShelterEquipment:2028,3,2
12484,NSR:Quay:13202,1,2,NSR:PlaceEquipment:375,NSR:PlaceEquipment:375,3,1,NSR:ShelterEquipment:23,NSR:ShelterEquipment:23,3,2
65585,NSR:Quay:69954,1,2,NSR:PlaceEquipment:11647,NSR:PlaceEquipment:11647,1,2,NSR:ShelterEquipment:2075,NSR:ShelterEquipment:2075,2,1
