RUTQuay;MetroQuay
RUT:Quay:301003102;RUT:Quay:NAT2
RUT:Quay:301213001;RUT:Quay:NYD1
RUT:Quay:301213002;RUT:Quay:NYD2
RUT:Quay:301133001;RUT:Quay:OPP1
RUT:Quay:301133002;RUT:Quay:OPP2
RUT:Quay:219012001;RUT:Quay:RIN1
RUT:Quay:219012002;RUT:Quay:RIN2
RUT:Quay:301232501;RUT:Quay:RIS1
RUT:Quay:301232502;RUT:Quay:RIS2
RUT:Quay:301201001;RUT:Quay:RLØ1
RUT:Quay:301201002;RUT:Quay:RLØ2
RUT:Quay:301171001;RUT:Quay:ROM1
RUT:Quay:301171002;RUT:Quay:ROM2
RUT:Quay:301120001;RUT:Quay:RYE1
RUT:Quay:301120002;RUT:Quay:RYE2
RUT:Quay:301245001;RUT:Quay:RØA1
RUT:Quay:301245002;RUT:Quay:RØA2
RUT:Quay:301191001;RUT:Quay:RØD1
RUT:Quay:301191002;RUT:Quay:RØD2
RUT:Quay:301181001;RUT:Quay:RÅS1
RUT:Quay:301181002;RUT:Quay:RÅS2
RUT:Quay:301210001;RUT:Quay:SIN1
RUT:Quay:301210002;RUT:Quay:SIN2
RUT:Quay:301238001;RUT:Quay:SKO1
RUT:Quay:301238002;RUT:Quay:SKO2
RUT:Quay:301114001;RUT:Quay:SKU1
RUT:Quay:301114002;RUT:Quay:SKU2
RUT:Quay:301235501;RUT:Quay:SKÅ1
RUT:Quay:301235502;RUT:Quay:SKÅ2
RUT:Quay:301233001;RUT:Quay:SLE1
RUT:Quay:301233002;RUT:Quay:SLE2
RUT:Quay:301256501;RUT:Quay:SME1
RUT:Quay:301256502;RUT:Quay:SME2
RUT:Quay:301231001;RUT:Quay:STE1
RUT:Quay:301231002;RUT:Quay:STE2
RUT:Quay:301172001;RUT:Quay:STO1
RUT:Quay:301172002;RUT:Quay:STO2
RUT:Quay:301212001;RUT:Quay:STR1
RUT:Quay:301212002;RUT:Quay:STR2
RUT:Quay:301002001;RUT:Quay:STT1
RUT:Quay:301002002;RUT:Quay:STT2
RUT:Quay:301002003;RUT:Quay:STT3
RUT:Quay:301020004;RUT:Quay:STT4
RUT:Quay:301228001;RUT:Quay:SOG1
RUT:Quay:301228002;RUT:Quay:SOG2
RUT:Quay:301132001;RUT:Quay:SÅS1
RUT:Quay:301132002;RUT:Quay:SÅS2
RUT:Quay:301154001;RUT:Quay:TRO1
RUT:Quay:301154002;RUT:Quay:TRO2
RUT:Quay:301223001;RUT:Quay:TÅS1
RUT:Quay:301223002;RUT:Quay:TÅS2
RUT:Quay:301152001;RUT:Quay:TVE1
RUT:Quay:301152002;RUT:Quay:TVE2
RUT:Quay:301060001;RUT:Quay:TØY1
RUT:Quay:301060002;RUT:Quay:TØY2
RUT:Quay:301060004;RUT:Quay:TØY4
RUT:Quay:301258001;RUT:Quay:ULL1
RUT:Quay:301258002;RUT:Quay:ULL2
RUT:Quay:301111001;RUT:Quay:ULS1
RUT:Quay:301111002;RUT:Quay:ULS2
RUT:Quay:301221001;RUT:Quay:UST1
RUT:Quay:301221002;RUT:Quay:UST2
RUT:Quay:301204001;RUT:Quay:VEI1
RUT:Quay:301204002;RUT:Quay:VEI2
RUT:Quay:301173001;RUT:Quay:VES1
RUT:Quay:301173002;RUT:Quay:VES2
RUT:Quay:301235001;RUT:Quay:VET1
RUT:Quay:301235002;RUT:Quay:VET2
RUT:Quay:301231501;RUT:Quay:VIN1
RUT:Quay:301231502;RUT:Quay:VIN2
RUT:Quay:301239001;RUT:Quay:VKO1
RUT:Quay:301239002;RUT:Quay:VKO2
RUT:Quay:301237501;RUT:Quay:VLA1
RUT:Quay:301237502;RUT:Quay:VLA2
RUT:Quay:301202001;RUT:Quay:VOL1
RUT:Quay:301202002;RUT:Quay:VOL2
RUT:Quay:301200001;RUT:Quay:ØKE1
RUT:Quay:301200002;RUT:Quay:ØKE2
RUT:Quay:219009001;RUT:Quay:ØSÅ1
RUT:Quay:219009002;RUT:Quay:ØSÅ2
RUT:Quay:301224001;RUT:Quay:ØSH1
RUT:Quay:301224002;RUT:Quay:ØSH2
RUT:Quay:301258501;RUT:Quay:ÅSJ1
RUT:Quay:301258502;RUT:Quay:ÅSJ2
